Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2021-08-21,Manchester City,Norwich,85,74,85,76,87,73,85,73,39,45,24,24,1000.0,163.2,5,0,H,2,0,H,16,1,4,0,13,7,6,1,1,0,0,0,2.44,0.03,2.14,0.0,2.92,0.04,7.62,27.58,1.08,11.0,26.0,1.11,9.5,23.0,1.12,9.5,22.0,1.11,11.28,26.2,1.08,10.0,26.0,1.09,10.5,26.0,1.13,10.0,26.0
E0,2021-08-21,Brighton,Watford,75,75,75,75,75,74,76,74,43,47,24,25,318.0,156.2,2,0,H,2,0,H,13,10,3,1,11,6,7,2,4,0,0,0,1.78,0.41,0.66,0.41,2.51,0.33,12.67,25.87,1.7,3.5,5.75,1.75,3.3,5.75,1.75,3.5,5.25,1.75,3.55,5.8,1.7,3.4,5.5,1.7,3.6,5.5,1.78,3.55,5.6
E0,2021-08-22,Southampton,Manchester United,76,83,76,83,76,84,76,83,33,43,25,25,274.3,769.15,1,1,D,1,0,H,8,15,3,4,12,10,7,7,2,3,0,0,0.59,2.26,0.48,1.44,0.28,2.58,8.87,9.07,5.5,4.2,1.57,5.0,4.33,1.62,5.25,4.2,1.6,5.32,4.41,1.64,5.5,4.0,1.6,5.75,4.1,1.57,5.7,4.45,1.61
E0,2021-08-22,Wolverhampton Wanderers,Tottenham,78,82,78,86,79,80,78,80,38,45,24,23,376.95,689.35,0,1,A,0,1,A,25,8,6,6,9,7,5,4,1,4,0,0,1.51,1.73,1.47,0.81,1.14,1.59,7.37,13.76,3.2,3.2,2.35,3.3,3.2,2.3,3.15,3.1,2.45,3.25,3.15,2.52,3.2,3.0,2.4,3.13,3.2,2.4,2.95,3.09,2.79
E0,2021-08-22,Arsenal,Chelsea,79,83,82,84,80,85,77,82,41,44,23,25,613.05,914.5,0,2,A,0,2,A,6,22,3,5,10,4,9,8,3,0,0,0,0.63,3.64,0.63,3.45,0.07,2.89,16.35,10.4,4.75,3.75,1.72,4.75,3.75,1.75,4.8,3.75,1.73,4.9,3.83,1.79,4.75,3.6,1.75,5.0,3.6,1.75,4.5,3.56,1.93
E0,2021-08-23,West Ham,Leicester,79,80,79,82,78,81,78,79,36,40,26,25,354.9,526.549999,4,1,H,1,0,H,13,5,7,1,8,8,10,0,0,1,0,1,2.29,0.63,2.17,0.17,2.5,0.34,23.36,12.91,2.5,3.5,2.75,2.6,3.5,2.6,2.55,3.4,2.75,2.61,3.51,2.82,2.6,3.3,2.7,2.55,3.5,2.7,2.52,3.5,2.95
E0,2021-08-28,Manchester City,Arsenal,85,79,85,82,87,80,85,77,39,41,24,23,1000.0,613.05,5,0,H,3,0,H,25,1,10,0,5,7,14,0,1,2,0,1,4.47,0.12,3.81,0.12,2.99,0.01,5.06,52.14,1.25,6.0,12.0,1.25,6.25,11.5,1.27,6.0,11.0,1.26,6.28,12.59,1.24,5.8,12.0,1.25,6.0,13.0,1.36,5.2,10.5
E0,2021-08-28,Aston Villa,Brentford,78,73,79,73,77,73,77,74,44,38,24,24,487.75,273.3,1,1,D,1,1,D,7,9,5,2,15,14,3,2,3,3,0,0,0.43,1.13,0.32,1.13,0.68,2.01,13.2,8.29,1.95,3.6,3.8,1.95,3.7,3.8,2.0,3.5,3.75,2.02,3.63,3.95,2.0,3.4,3.7,1.95,3.5,4.0,2.1,3.33,4.07
E0,2021-08-28,Brighton,Everton,75,79,75,80,75,79,76,79,43,42,24,25,318.0,479.05,0,2,A,0,1,A,14,14,3,5,7,9,4,5,1,2,0,0,0.7,1.55,0.46,0.77,0.64,2.11,7.0,14.26,2.3,3.2,3.3,2.35,3.3,3.1,2.35,3.15,3.2,2.37,3.29,3.37,2.35,3.1,3.25,2.3,3.2,3.3,2.35,3.26,3.46
E0,2021-08-28,Newcastle United,Southampton,76,76,78,76,75,76,74,76,34,33,27,25,313.9,274.3,2,2,D,0,0,D,10,22,5,6,11,6,4,4,3,3,0,0,1.19,3.46,0.75,2.16,0.13,2.8,9.75,7.71,2.5,3.4,2.8,2.5,3.5,2.75,2.5,3.45,2.8,2.55,3.52,2.9,2.45,3.4,2.8,2.5,3.4,2.8,2.51,3.59,2.89
